text,label,app,app_name,rating
"love being able to edit the raw photos my galaxy s <number> edge takes. much more convenient to edit on phone then in desktop lightroom. only problem i have is raw photos don't show up in app right away, seems i have to restart the phone for them to index, force closing the app and reopening doesn't work.",2,com.adobe.lrmobile,Adobe Lightroom,4
it's obviously good,2,com.UCMobile.intl,UC Browser,4
"great information, love the book now pay when you stay option and free cancellation, life can mean you need to change your plans!",2,com.booking,Booking.com,4
it's a nice app,2,com.adobe.lrmobile,Adobe Lightroom,4
not working on galaxy s <number>,0,com.bitstrips.imoji,Bitmoji,1
cannot open it any more,0,com.booking,Booking.com,1
i don't know how to make it work,1,com.bitstrips.imoji,Bitmoji,3
i think the apps is easy to use and very convenient.,2,com.booking,Booking.com,4
i cant change my display picture,0,com.bbm,BBM,1
way too many advertisements,2,com.aws.android,AccuWeather,4
